t,Pool Balance,Current Loans Remaining,Fully Prepaying,Scheduled Interest,Scheduled Principal,Prepaid Principal,Total Principal,Principal Loan Balance,Defaulted Balances,Recoveries,Available Funds,Principal Due
0,101751000.0,16378.0,0.0,0.0,0.0,0.0,0.0,6212.663,0.0,0.0,0.0,0.0
1,100207964.324,16376.249,1.638,1017502.988,1535407.801,7126.222,1542534.023,6136.593,501.653,0.0,2560037.012,1543035.676
2,98635913.657,16371.211,4.913,1004936.074,1550595.002,20913.435,1571508.437,6059.761,542.23,0.0,2576444.511,1572050.667
3,97035637.529,16362.885,8.189,992048.0,1565617.91,34072.585,1599690.495,5982.162,585.633,0.0,2591738.495,1600276.128
4,95407942.836,16351.268,11.465,978845.139,1580468.446,46594.259,1627062.705,5903.786,631.988,250.826,2606158.67,1627694.693
5,93753654.165,16336.36,14.74,965333.997,1595138.341,58468.918,1653607.259,5824.627,681.413,271.115,2619212.371,1654288.671
6,92073614.127,16318.16,18.016,951521.223,1609619.125,69686.897,1679306.022,5744.676,734.016,292.816,2631120.061,1680040.038
7,90368683.705,16296.664,21.291,937413.608,1623902.129,80238.401,1704140.53,5663.925,789.892,315.994,2641870.131,1704930.422
8,88639742.608,16271.872,24.567,923018.085,1637978.474,90113.506,1728091.98,5582.367,849.117,340.706,2651450.772,1728941.097
9,86887689.641,16243.78,27.843,908341.738,1651839.069,99302.155,1751141.224,5499.994,911.743,367.008,2659849.97,1752052.967
10,85113443.088,16212.388,31.118,893391.798,1665474.6,107794.159,1773268.759,5416.796,977.794,394.946,2667055.503,1774246.553
11,83317941.109,16177.692,34.394,878175.649,1678875.53,115579.193,1794454.723,5332.767,1047.256,424.558,2673054.93,1795501.979
12,81502142.157,16139.689,37.669,862700.83,1692032.086,122646.794,1814678.881,5247.897,1120.072,455.872,2677835.583,1815798.952
13,79667025.404,16098.377,40.945,846975.041,1704934.258,128986.363,1833920.622,5162.179,1196.131,488.897,2681384.559,1835116.752
14,77813591.201,16053.751,44.221,831006.138,1717571.786,134587.159,1852158.945,5075.604,1275.258,523.628,2683688.711,1853434.203
15,75942861.542,16005.809,47.496,814802.147,1729934.155,139438.299,1869372.454,4988.162,1357.205,560.036,2684734.637,1870729.659
16,74055880.564,15954.546,50.772,798371.257,1742010.588,143528.757,1885539.346,4899.847,1441.632,598.065,2684508.668,1886980.977
17,72153715.069,15899.959,54.047,781721.831,1753790.037,146847.361,1900637.398,4810.648,1528.097,637.629,2682996.858,1902165.495
