,Available Funds,Total Principal Due,Class A Beginning Principal Balance,Class B Beginning Principal Balance,Cumulative Principal Due
0,0.0,0.0,85340000.0,16411000.0,0.0
1,2560037.012,1543035.676,,,1543035.676
2,2576444.511,1572050.667,,,3115086.343
3,2591738.495,1600276.128,,,4715362.471
4,2606158.67,1627694.693,,,6343057.164
5,2619212.371,1654288.671,,,7997345.835
6,2631120.061,1680040.038,,,9677385.873
7,2641870.131,1704930.422,,,11382316.295
8,2651450.772,1728941.097,,,13111257.392
9,2659849.97,1752052.967,,,14863310.359
10,2667055.503,1774246.553,,,16637556.912
11,2673054.93,1795501.979,,,18433058.891
12,2677835.583,1815798.952,,,20248857.843
13,2681384.559,1835116.752,,,22083974.596
14,2683688.711,1853434.203,,,23937408.799
15,2684734.637,1870729.659,,,25808138.458
16,2684508.668,1886980.977,,,27695119.436
17,2682996.858,1902165.495,,,29597284.931
18,2680184.97,1916260.001,,,31513544.931
19,2676058.466,1929240.709,,,33442785.64
20,2670602.486,1941083.225,,,35383868.865
21,2660090.265,1948050.943,,,37331919.808
22,2645335.956,1950875.051,,,39282794.859
23,2630497.367,1953636.191,,,41236431.05
24,2615571.874,1956330.217,,,43192761.267
25,2600556.656,1958952.591,,,45151713.859
26,2585448.679,1961498.352,,,47113212.211
27,2570244.686,1963962.094,,,49077174.305
28,2554941.189,1966337.943,,,51043512.248
29,2539534.456,1968619.544,,,53012131.792
30,2524020.514,1970800.057,,,54982931.849
31,2508395.143,1972872.162,,,56955804.011
32,2492653.889,1974828.078,,,58930632.089
33,2476792.071,1976659.601,,,60907291.69
34,2460804.805,1978358.168,,,62885649.858
35,2444687.038,1979914.933,,,64865564.791
36,2428433.59,1981320.885,,,66846885.677
37,2412039.212,1982566.988,,,68829452.665
38,2395498.66,1983644.354,,,70813097.019
39,2378806.78,1984544.453,,,72797641.472
40,2361958.618,1985259.353,,,74782900.825
41,2344949.539,1985781.983,,,76768682.808
42,2327775.365,1986106.426,,,78754789.234
43,2310432.526,1986228.215,,,80741017.45
44,2292918.218,1986144.639,,,82727162.089
45,2275230.574,1985855.022,,,84713017.111
46,2257368.821,1985360.976,,,86698378.087
47,2239333.436,1984666.594,,,88683044.681
48,2221126.281,1983778.58,,,90666823.261
49,2202750.702,1982706.271,,,92649529.532
50,2184211.597,1981461.569,,,94630991.101
51,2165515.43,1980058.747,,,96611049.848
52,2146670.184,1978514.14,,,98589563.988
53,2127685.255,1976845.722,,,100566409.711
54,2108571.278,1975072.589,,,102541482.3
55,2089339.893,1973214.365,,,104514696.665
56,2070003.445,1971290.562,,,106485987.227
57,2050574.65,1969319.934,,,108455307.162
58,2031066.223,1967319.856,,,110422627.018
59,2011490.496,1965305.759,,,112387932.777
60,2202256.926,2173688.55,,,114561621.327
