,Servicing Fee,Servicing Fee,Servicing Fee,Servicing Fee,Class A Interest,Class A Interest,Class A Interest,Class A Interest,Class B Interest,Class B Interest,Class B Interest,Class B Interest,Class A Principal,Class A Principal,Class A Principal,Class A Principal,Class A Principal,Class B Principal,Class B Principal,Class B Principal,Class B Principal,Class B Principal,Reserve Account,Reserve Account,Reserve Account,Reserve Account,Reserve Account,Reserve Account
,Amount Due,Amount Paid,ShortFall,Available Funds,Interest Due,Interest Paid,Interest ShortFall,Remaining Available Funds,Interest Due,Interest Paid,Interest ShortFall,Remaining Available Funds,Principal Due,Principal Paid,Principal ShortFall,Ending Principal Balance,Remaining Available Funds,Principal Due,Principal Paid,Principal ShortFall,Ending Principal Balance,Remaining Available Funds,Beg Balance(at month end),Collection Account Balance after class B Principal,Account Draw(in current period),Target Reserve Amount,Reserve Contribution Amount,Ending Reserve Balance
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,84792.5,84792.5,0.0,2475244.512,0.0,0.0,0.0,0.0,82055.0,0.0,82055.0,0.0,1543035.676,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,83506.637,83506.637,0.0,2492937.874,0.0,0.0,0.0,0.0,164520.275,0.0,164520.275,0.0,1572050.667,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,82196.595,82196.595,0.0,2509541.901,0.0,0.0,0.0,0.0,247397.876,0.0,247397.876,0.0,1600276.128,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,80863.031,80863.031,0.0,2525295.639,0.0,0.0,0.0,0.0,330689.866,0.0,330689.866,0.0,1627694.693,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,79506.619,79506.619,0.0,2539705.751,0.0,0.0,0.0,0.0,414398.315,0.0,414398.315,0.0,1654288.671,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,78128.045,78128.045,0.0,2552992.016,0.0,0.0,0.0,0.0,498525.307,0.0,498525.307,0.0,1680040.038,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,76728.012,76728.012,0.0,2565142.12,0.0,0.0,0.0,0.0,583072.933,0.0,583072.933,0.0,1704930.422,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,75307.236,75307.236,0.0,2576143.535,0.0,0.0,0.0,0.0,668043.298,0.0,668043.298,0.0,1728941.097,0.0,0.0,85340000.0,0.0,0.0,0.0,0.0,16411000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
